Wall time,Step,Value
1774138193.0772212,1687,0.11133333295583725
1774138455.763635,3375,0.4415000081062317
1774138715.1360905,5063,0.7091666460037231
1774138976.2221937,6751,0.8003333210945129
1774139236.533643,8439,0.8709999918937683
1774139498.948016,10127,0.9054999947547913
1774139759.2192907,11815,0.9126666784286499
1774140019.219363,13503,0.9491666555404663
1774140279.2618167,15191,0.9551666378974915
1774140538.4579494,16879,0.940500020980835
1774140798.610878,18567,0.956333339214325
1774141060.3092682,20255,0.9695000052452087
1774141321.9168696,21943,0.9703333377838135
1774141582.820326,23631,0.9674999713897705
1774141845.2024517,25319,0.9743333458900452
1774142107.638601,27007,0.9753333330154419
1774142370.8332162,28695,0.9643333554267883
1774142635.6976185,30383,0.9703333377838135
1774142898.659152,32071,0.9733333587646484
1774143161.061502,33759,0.9788333177566528
1774143422.8357065,35447,0.9789999723434448
1774143685.1791878,37135,0.9763333201408386
1774143948.0552456,38823,0.9775000214576721
1774144212.0738049,40511,0.9769999980926514
1774144473.966596,42199,0.9806666374206543
1774144736.9809835,43887,0.9793333411216736
1774144998.678636,45575,0.981333315372467
1774145262.6036339,47263,0.9823333621025085
1774145528.5931554,48951,0.9768333435058594
