Wall time,Step,Value
1774136633.8101652,843,0.0860000029206276
1774136669.4658957,1687,0.8416666388511658
1774136706.0048265,2531,0.9293333292007446
1774136742.5204296,3375,0.9556666612625122
1774136779.3349173,4219,0.9639999866485596
1774136814.7202084,5063,0.9496666789054871
1774136851.0499904,5907,0.9636666774749756
1774136886.9624372,6751,0.9589999914169312
1774136922.1989994,7595,0.9741666913032532
1774136958.331843,8439,0.9789999723434448
1774136993.666497,9283,0.9769999980926514
1774137029.1378262,10127,0.9754999876022339
1774137064.0252402,10971,0.9773333072662354
1774137101.548841,11815,0.9788333177566528
1774137134.2995622,12659,0.9714999794960022
1774137170.2645848,13503,0.9764999747276306
1774137203.6125963,14347,0.9696666598320007
1774137238.023549,15191,0.9821666479110718
1774137275.243892,16035,0.972000002861023
1774137310.010294,16879,0.965666651725769
1774137347.020383,17723,0.9240000247955322
1774137384.5858548,18567,0.9764999747276306
1774137417.9038541,19411,0.9826666712760925
1774137453.3364277,20255,0.9791666865348816
1774137489.487873,21099,0.9638333320617676
1774137523.155002,21943,0.981166660785675
1774137557.554052,22787,0.9815000295639038
1774137593.2633357,23631,0.9610000252723694
1774137628.0961125,24475,0.9603333473205566
1774137663.6638517,25319,0.9796666502952576
1774137699.8990605,26163,0.9753333330154419
1774137734.3432336,27007,0.9731666445732117
1774137768.4517167,27851,0.8971666693687439
