Wall time,Step,Value
1774208206.7405598,843,0.11133333295583725
1774208276.754238,1687,0.7666666507720947
1774208347.470032,2531,0.6995000243186951
1774208417.7250812,3375,0.8618333339691162
1774208487.441851,4219,0.9284999966621399
1774208556.7904289,5063,0.9426666498184204
1774208626.7283452,5907,0.9113333225250244
1774208697.814894,6751,0.9323333501815796
1774208767.9088268,7595,0.9338333606719971
1774208836.8693461,8439,0.95333331823349
1774208904.515894,9283,0.9725000262260437
1774208972.222048,10127,0.9728333353996277
1774209040.647021,10971,0.9586666822433472
1774209109.0872588,11815,0.8963333368301392
1774209176.532154,12659,0.9791666865348816
1774209244.622277,13503,0.9403333067893982
1774209313.1481469,14347,0.9599999785423279
1774209381.919001,15191,0.9756666421890259
1774209448.695746,16035,0.981333315372467
1774209515.4582012,16879,0.9831666946411133
1774209582.008251,17723,0.984666645526886
1774209648.3962188,18567,0.9793333411216736
1774209715.14677,19411,0.9819999933242798
1774209784.069987,20255,0.9810000061988831
1774209852.277868,21099,0.9861666560173035
1774209918.884053,21943,0.984000027179718
1774209985.77068,22787,0.9825000166893005
1774210052.388934,23631,0.9808333516120911
1774210119.755529,24475,0.9796666502952576
1774210188.034104,25319,0.9816666841506958
1774210256.585461,26163,0.981166660785675
1774210324.5320241,27007,0.9858333468437195
1774210393.042531,27851,0.9804999828338623
1774210464.8751948,28695,0.9801666736602783
1774210533.9073951,29539,0.9816666841506958
