Wall time,Step,Value
1774115843.7110016,210,0.1120000034570694
1774115866.3238447,421,0.33000001311302185
1774115888.7114255,632,0.3919999897480011
1774115911.5642245,843,0.3799999952316284
1774115934.145657,1054,0.48399999737739563
1774115956.645413,1265,0.5180000066757202
1774115978.987566,1476,0.47600001096725464
1774116002.2291381,1687,0.5199999809265137
1774116024.8073895,1898,0.4699999988079071
1774116048.031983,2109,0.5239999890327454
1774116070.4802995,2320,0.5720000267028809
1774116093.1462238,2531,0.5820000171661377
1774116115.9165459,2742,0.5580000281333923
1774116138.282976,2953,0.628000020980835
1774116160.8598428,3164,0.6499999761581421
1774116183.835933,3375,0.6159999966621399
1774116206.4768288,3586,0.656000018119812
1774116229.4962194,3797,0.671999990940094
1774116251.8375907,4008,0.656000018119812
1774116274.1564844,4219,0.6740000247955322
1774116296.6083202,4430,0.5899999737739563
1774116318.9618518,4641,0.6779999732971191
1774116341.9246225,4852,0.6039999723434448
1774116364.07091,5063,0.7080000042915344
1774116386.8053017,5274,0.6880000233650208
1774116409.3194757,5485,0.6859999895095825
1774116431.5287356,5696,0.7120000123977661
1774116454.7193108,5907,0.6579999923706055
1774116477.3673732,6118,0.7039999961853027
1774116501.331113,6329,0.7239999771118164
1774116523.8054428,6540,0.722000002861023
1774116546.2978005,6751,0.7480000257492065
1774116570.1856327,6962,0.7459999918937683
1774116592.4045923,7173,0.75
1774116614.9970188,7384,0.7139999866485596
1774116637.304954,7595,0.7540000081062317
1774116660.5462031,7806,0.7540000081062317
1774116682.6941726,8017,0.7799999713897705
1774116706.2508106,8228,0.7559999823570251
1774116728.7006044,8439,0.7860000133514404
1774116750.7410018,8650,0.7559999823570251
1774116774.5566208,8861,0.7419999837875366
1774116801.5825074,9072,0.765999972820282
1774116828.8626077,9283,0.8019999861717224
1774116855.962865,9494,0.7960000038146973
1774116883.182697,9705,0.7799999713897705
1774116910.4815764,9916,0.7820000052452087
1774116937.2574806,10127,0.7940000295639038
1774116965.0014145,10338,0.7799999713897705
1774116992.3613362,10549,0.7860000133514404
1774117019.0374334,10760,0.7860000133514404
1774117046.3368952,10971,0.7699999809265137
1774117073.6439345,11182,0.7879999876022339
1774117100.7525775,11393,0.7960000038146973
1774117128.583256,11604,0.800000011920929
1774117156.3702953,11815,0.7860000133514404
1774117180.35202,12026,0.8159999847412109
1774117202.9175596,12237,0.8180000185966492
1774117226.5177267,12448,0.800000011920929
1774117248.965712,12659,0.7940000295639038
1774117271.3276088,12870,0.8259999752044678
1774117293.9041455,13081,0.8140000104904175
1774117317.5252316,13292,0.8159999847412109
1774117342.3617938,13503,0.8159999847412109
1774117369.2468307,13714,0.8220000267028809
1774117395.97579,13925,0.8259999752044678
1774117422.5286505,14136,0.8259999752044678
1774117449.5115058,14347,0.8080000281333923
1774117476.3690522,14558,0.8339999914169312
1774117502.4525785,14769,0.828000009059906
1774117529.7706914,14980,0.8399999737739563
1774117556.9947119,15191,0.8339999914169312
1774117583.785906,15402,0.8299999833106995
1774117610.424892,15613,0.8240000009536743
1774117637.15698,15824,0.8500000238418579
1774117664.0673695,16035,0.8399999737739563
1774117689.948485,16246,0.8399999737739563
1774117716.8230972,16457,0.8420000076293945
1774117743.7416084,16668,0.8479999899864197
1774117769.890036,16879,0.8500000238418579
1774117796.7074013,17090,0.843999981880188
