Wall time,Step,Value
1774146302.2121534,507,0.0010000000474974513
1774146712.4255896,1015,0.12359999865293503
1774147122.4224205,1523,0.19120000302791595
1774147532.462628,2031,0.24860000610351562
1774147941.9833026,2539,0.303600013256073
1774148351.2931998,3047,0.3553999960422516
1774148759.6521962,3555,0.3824000060558319
1774149169.751078,4063,0.4352000057697296
1774149578.1146731,4571,0.46059998869895935
1774149986.2042325,5079,0.48840001225471497
1774150394.6027522,5587,0.498199999332428
1774150803.0192733,6095,0.5080000162124634
1774151211.6719782,6603,0.5320000052452087
1774151620.383126,7111,0.5649999976158142
1774152030.3960896,7619,0.5401999950408936
1774152438.890327,8127,0.5649999976158142
